file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;50;3182.531887;-n1 -N2 THIN -k30000 -m:core
file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;50;1598.713310;-n2 -N2 THIN -k30000 -m:core
file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;50;827.141922;-n4 -N2 THIN -k30000 -m:core
file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;50;565.468294;-n6 -N2 THIN -k30000 -m:core
file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;50;437.545532;-n8 -N2 THIN -k30000 -m:core
