file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;297.195922;-n1 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;154.183694;-n2 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;83.404488;-n4 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;58.906875;-n6 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;46.955991;-n8 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;39.505536;-n10 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;34.006000;-n12 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;30.876575;-n14 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;28.227735;-n16 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;26.235968;-n18 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;24.525703;-n20 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;10;23.390652;-n22 -N2 THIN -k20000 -m:core
