file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;10;666.703839;-n1 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;338.229611;-n2 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;178.169872;-n4 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;122.001545;-n6 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;94.928485;-n8 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;78.378867;-n10 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;67.469339;-n12 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;59.916282;-n14 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;54.059217;-n16 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;49.381449;-n18 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;45.823693;-n20 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;42.840362;-n22 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;10;39.930040;-n24 -N2 THIN -k30000 -m:core
