file;program;mode;size;step;time_taken;info
miofile_30000;mpi_openmp;1;30000;30;1929.439393;-n1 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;969.358994;-n2 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;494.592849;-n4 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;334.283927;-n6 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;255.572807;-n8 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;208.188188;-n10 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;176.516996;-n12 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;153.762582;-n14 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;136.493542;-n16 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;123.520952;-n18 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;112.728052;-n20 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;103.933792;-n22 -N2 THIN -k30000 -m:core

miofile_30000;mpi_openmp;1;30000;30;96.862814;-n24 -N2 THIN -k30000 -m:core
